職缺名稱,公司資訊,薪資,網址,所需技能,工作經歷,公司地址
大數據稽核諮詢顧問,勤業眾信聯合會計師事務所,待遇面議,https://www.104.com.tw/job/550g9?jobsource=n104bank2,"['Excel', 'Outlook', 'PowerPoint', 'Word', '']",2年以上,台北市信義區松仁路100號20樓
【大數據分析工程師】分析萬事萬物！加入台中矽谷,皮克網路有限公司,"月薪30,000~52,000元",https://www.104.com.tw/job/5a5et?jobsource=n104bank2,[''],不拘,台中市豐原區
資訊專案人員(大數據整理),拓凱實業股份有限公司,"月薪30,000~45,000元",https://www.104.com.tw/job/72ykf?jobsource=n104bank2,[''],不拘,台中市南屯區工業區 20 路 18 號
SEO / SEM 大數據行銷儲備經理,臺灣特力智慧科技有限公司,待遇面議,https://www.104.com.tw/job/73hae?jobsource=n104bank2,[''],不拘,台北市信義區松隆路102號17樓之1
大數據應用產品開發管理師,愛酷智能科技股份有限公司,待遇面議,https://www.104.com.tw/job/742dh?jobsource=jolist_b_relevance,[''],1年以上,台北市松山區敦化南路一段2號5樓
[TCXY08]大數據工程師_Big Data Engineer,優聘資訊科技有限公司,"月薪38,000~80,000元",https://www.104.com.tw/job/72x55?jobsource=jolist_b_relevance,"['Java', 'Python', '']",1年以上,台中市西屯區府會園道179號 6F-2
【大數據】資料應用開發工程師,中華系統整合股份有限公司,待遇面議,https://www.104.com.tw/job/71mss?jobsource=jolist_b_relevance,"['Linux', 'C', 'Python', 'TCP/IP', '']",3年以上,台北市大安區
大數據系統開發工程師 (福建),煒晶科技股份有限公司,"月薪40,000~100,000元",https://www.104.com.tw/job/71nuu?jobsource=jolist_b_relevance,"['Git', 'ASP.NET', 'C#', 'Python', 'PL/SQL', '']",不拘,福建省
大數據軟體工程師 (月薪10萬-20萬),美商視龍有限公司台灣分公司,"月薪80,000~200,000元",https://www.104.com.tw/job/4qqjx?jobsource=jolist_b_relevance,"['C++', 'Java', 'Go', 'JavaScript', '']",不拘,台北市中正區北平東路30-2號5樓
資料科學家(大數據處),台灣大車隊股份有限公司,待遇面議,https://www.104.com.tw/job/6ztvz?jobsource=jolist_b_relevance,"['MS SQL', 'Excel', '']",2年以上,新北市三重區重新路五段609巷2號7樓之1
AI大數據研發工程師/專員 - J1913,廣達電腦股份有限公司,"月薪34,000元以上",https://www.104.com.tw/job/6zy4c?jobsource=jolist_b_relevance,"['C', 'C#', 'C++', 'Python', '']",不拘,桃園市龜山區文化二路211號
系統工程專案工程師,昱峰智能大數據科技股份有限公司,待遇面議,https://www.104.com.tw/job/6vsus?jobsource=jolist_b_relevance,"['Linux', 'Shell', 'Vmware', 'Apache SOAP', 'DHCP', 'DNS', 'Firewall', 'FTP', 'HTTP', 'LAN', 'Load Balancing', 'SAN', 'ssh', 'TCP/IP', 'VPN', 'WAN', '']",不拘,台北市信義區永吉路168號12樓之1
Senior Java/Scala Data Backend Engineer (大數據),伊諾科技有限公司,待遇面議,https://www.104.com.tw/job/6qwxd?jobsource=jolist_b_relevance,"['Linux', 'Java', 'Scala', '']",4年以上,台北市內湖區陽光街300號9 樓
10R0-大數據中心 生物統計師(biostatistician),中國醫藥大學附設醫院,"月薪34,000~35,000元",https://www.104.com.tw/job/4lwfh?jobsource=jolist_b_relevance,"['SAS', 'SPSS', '']",不拘,台中市北區育德路2號
【大數據】資料庫工程師,中華系統整合股份有限公司,待遇面議,https://www.104.com.tw/job/71mow?jobsource=jolist_b_relevance,"['Linux', 'Database Administrator', 'Database Management', 'MySQL', 'Oracle', 'Vmware', 'JavaScript', 'TCP/IP', '']",3年以上,台北市大安區
智慧交通運輸 交通分析師/時制重整/交通大數據,瑄品股份有限公司,"月薪40,000~90,000元",https://www.104.com.tw/job/6uksl?jobsource=jolist_b_relevance,[''],3年以上,台北市信義區信義路五段5號7樓7F02室
資訊工程師(大數據程式開發),力晶積成電子製造股份有限公司(力積電),"月薪37,000元以上",https://www.104.com.tw/job/6z6dq?jobsource=jolist_b_relevance,[''],不拘,新竹市力行一路12號
大數據分析工程師（Big Data Analysis engineer）,安智聯科技有限公司,"月薪50,000元以上",https://www.104.com.tw/job/6xrlh?jobsource=jolist_b_relevance,"['Python', 'LabVIEW', 'JDBC', 'MS SQL', 'MySQL', 'Oracle', 'PostgreSQL', 'hadoop', 'AWS', 'Tableau', 'Power BI\u200b', 'Hive', 'SAN/NAS', 'Teradata', 'TIBCO', '']",3年以上,桃園市桃園區成功路三段1號 (虎頭山創新園區D棟)
大數據發展事業處-(資深)數據分析師,台灣大車隊股份有限公司,待遇面議,https://www.104.com.tw/job/6v2kz?jobsource=jolist_b_relevance,"['MS SQL', 'Excel', '']",3年以上,新北市三重區重新路五段609巷2號7樓之1
大數據開發工程師,智谷系統有限公司,"月薪200,000~300,000元",https://www.104.com.tw/job/747ym?jobsource=jolist_b_relevance,"['Linux', 'Python', 'hadoop', '']",不拘,菲律賓
數據ETL工程師(大數據處),台灣大車隊股份有限公司,"月薪30,000~50,000元",https://www.104.com.tw/job/6ztw9?jobsource=jolist_b_relevance,"['Java', 'Python', 'MS SQL', 'Tableau', '']",2年以上,新北市三重區重新路五段609巷2號7樓之1
影音助理編輯 (長期工讀),大數據股份有限公司,時薪158元,https://www.104.com.tw/job/6uu0k?jobsource=jolist_b_relevance,"['Premiere', 'Adobe Photoshop', 'Illustrator', 'Final Cut ProX', '']",不拘,台北市中山區民生東路二段145號5樓
資料工讀生(長期工讀),大數據股份有限公司,時薪158元,https://www.104.com.tw/job/58je6?jobsource=jolist_b_relevance,[''],不拘,台北市中山區
【學生實習】業務部-大數據分析(109/12/21-110/03/31),台灣經濟新報文化事業股份有限公司,時薪160~180元,https://www.104.com.tw/job/6lnvw?jobsource=jolist_b_relevance,"['Python', 'Excel', 'Outlook', 'PowerPoint', 'Word', '']",不拘,台北市信義區東興路57號11樓
